num;coord_x;coord_y
848;332160.407;1220629
849;332157.670;1220632
850;332154.935;1220636
851;332152.228;1220639
852;332149.592;1220642
853;332146.957;1220645
854;332144.338;1220649
855;332141.880;1220652
856;332139.294;1220656
857;332136.804;1220659
858;332134.271;1220662
859;332131.840;1220666
860;332129.276;1220669
861;332126.975;1220673
862;332124.560;1220676
863;332122.168;1220680
864;332119.942;1220683
865;332117.644;1220687
866;332115.317;1220690
867;332113.214;1220694
868;332111.058;1220698
869;332109.007;1220701
870;332106.994;1220705
871;332104.800;1220709
872;332102.788;1220712
873;332100.776;1220716
874;332098.773;1220720
875;332096.760;1220723
876;332094.757;1220727
877;332092.754;1220731
878;332090.742;1220734
879;332088.730;1220738
880;332086.900;1220742
881;332084.888;1220746
882;332082.876;1220749
883;332080.945;1220753
884;332079.025;1220757
885;332077.129;1220761
886;332075.165;1220764
887;332073.153;1220768
888;332071.305;1220772
889;332069.314;1220776
890;332067.436;1220779
891;332065.481;1220783
892;332063.648;1220787
893;332061.701;1220791
894;332059.815;1220794
895;332057.822;1220798
896;332055.965;1220802
897;332053.934;1220805
898;332051.895;1220809
899;332049.855;1220813
900;332047.825;1220816
901;332045.785;1220820
902;332041.871;1220828
903;332039.847;1220831
904;332037.965;1220835
905;332035.974;1220839
906;332034.123;1220843
907;332032.266;1220846
908;332030.416;1220850
909;332028.550;1220854
910;332026.693;1220858
911;332024.818;1220861
912;332022.881;1220865
913;332020.903;1220869
914;332019.020;1220873
915;332016.981;1220876
916;332015.069;1220880
917;332012.992;1220884
918;332011.036;1220888
919;332009.020;1220891
920;332006.985;1220895
921;332005.031;1220899
922;332003.124;1220903
923;332001.217;1220906
924;331999.293;1220910
925;331997.369;1220914
926;331995.453;1220917
927;331993.522;1220921
928;331991.582;1220925
929;331989.642;1220929
930;331987.794;1220932
931;331985.928;1220936
932;331983.972;1220940
933;331981.976;1220944
934;331979.851;1220947
935;331977.980;1220951
936;331976.071;1220955
937;331974.074;1220959
938;331972.084;1220962
939;331970.070;1220966
940;331968.186;1220970
941;331966.200;1220973
942;331964.153;1220977
943;331962.115;1220981
944;331960.068;1220984
945;331958.012;1220988
946;331955.941;1220992
947;331953.861;1220995
948;331951.628;1220999
949;331949.287;1221002
950;331946.869;1221006
951;331944.420;1221009
952;331941.842;1221012
953;331939.064;1221015
