num;coord_y;coord_x
917;1220884;332013
918;1220888;332011
919;1220891;332009
920;1220895;332007
921;1220899;332005
922;1220903;332003
923;1220906;332001
924;1220910;331999
925;1220914;331997
926;1220917;331995
927;1220921;331994
928;1220925;331992
929;1220929;331990
930;1220932;331988
931;1220936;331986
932;1220940;331984
933;1220944;331982
934;1220947;331980
935;1220951;331978
936;1220955;331976
937;1220959;331974
938;1220962;331972
939;1220966;331970
940;1220970;331968
941;1220973;331966
942;1220977;331964
943;1220981;331962
944;1220984;331960
945;1220988;331958
946;1220992;331956
947;1220995;331954
948;1220999;331952
949;1221002;331949
950;1221006;331947
951;1221009;331944
952;1221012;331942
953;1221015;331939
954;1221018;331936
955;1221021;331933
956;1221024;331930
957;1221027;331927
958;1221029;331924
959;1221032;331921
960;1221035;331917
961;1221037;331914
962;1221039;331911
963;1221042;331907
964;1221044;331903
965;1221046;331900
966;1221048;331896
967;1221050;331892
968;1221052;331889
969;1221055;331885
970;1221056;331881
971;1221058;331878
972;1221060;331874
973;1221062;331870
974;1221064;331866
975;1221066;331862
976;1221067;331859
977;1221069;331855
978;1221071;331851
979;1221073;331847
980;1221074;331843
981;1221076;331839
982;1221077;331835
983;1221079;331831
984;1221080;331827
985;1221081;331824
986;1221083;331819
987;1221084;331815
988;1221085;331811
989;1221086;331807
990;1221087;331803
991;1221088;331799
992;1221089;331795
993;1221090;331791
994;1221091;331787
995;1221093;331783
996;1221094;331779
997;1221095;331775
998;1221096;331771
999;1221097;331766
1000;1221098;331762
1001;1221099;331758
1002;1221100;331754
1003;1221101;331750
1004;1221102;331746
1005;1221103;331742
1006;1221104;331738
1007;1221106;331734
1008;1221107;331730
1009;1221108;331726
1010;1221109;331722
1011;1221110;331718
1012;1221111;331714
1013;1221112;331709
1014;1221113;331705
1015;1221114;331701
1016;1221115;331697
1017;1221116;331693
1018;1221117;331689
1019;1221118;331685
1020;1221119;331681
1021;1221120;331677
1022;1221121;331673
1023;1221122;331669
1024;1221122;331664
1025;1221123;331660
1026;1221124;331656
1027;1221125;331652
1028;1221126;331648
1029;1221127;331644
1030;1221127;331640
1031;1221128;331636
1032;1221128;331631
1033;1221129;331627
1034;1221130;331623
1035;1221130;331619
1036;1221130;331615
1037;1221131;331611
1038;1221131;331606
1039;1221131;331602
1040;1221132;331598
1041;1221132;331594
1042;1221132;331590
1043;1221132;331585
1044;1221132;331581
1045;1221132;331577
1046;1221132;331573
1047;1221132;331569
1048;1221132;331565
1049;1221132;331560
1050;1221132;331556
1051;1221131;331552
1052;1221131;331548
1053;1221131;331544
1054;1221130;331539
1055;1221130;331535
1056;1221129;331531
1057;1221129;331527
1058;1221128;331523
1059;1221127;331519
1060;1221127;331515
1061;1221126;331510
1062;1221125;331506
1063;1221125;331502
1064;1221124;331498
1065;1221123;331494
1066;1221122;331490
1067;1221122;331486
1068;1221121;331481
1069;1221120;331477
1070;1221119;331473
1071;1221119;331469
1072;1221118;331465
1073;1221117;331461
1074;1221116;331456
1075;1221116;331452
1076;1221115;331448
1077;1221114;331444
1078;1221114;331440
1079;1221113;331436
1080;1221112;331431
1081;1221112;331427
1082;1221111;331423
1083;1221110;331419
1084;1221109;331415
1085;1221109;331411
1086;1221108;331407
1087;1221107;331402
1088;1221107;331398
1089;1221106;331394
1090;1221105;331390
1091;1221105;331386
1092;1221104;331382
1093;1221103;331377
1094;1221102;331373
1095;1221102;331369
1096;1221101;331365
1097;1221100;331361
1098;1221100;331357
1099;1221099;331353
1100;1221098;331348
1101;1221098;331344
1102;1221097;331340
1103;1221096;331336
1104;1221095;331332
1105;1221094;331328
1106;1221093;331324
1107;1221092;331320
1108;1221091;331316
1109;1221090;331312
1110;1221088;331308
1111;1221087;331304
1112;1221086;331300
1113;1221084;331296
1114;1221083;331292
1115;1221081;331288
1116;1221080;331284
1117;1221078;331280
1118;1221076;331276
1119;1221075;331272
1120;1221073;331269
1121;1221071;331265
1122;1221070;331261
1123;1221068;331257
1124;1221066;331253
1125;1221064;331249
1126;1221063;331246
1127;1221061;331242
1128;1221059;331238
1129;1221057;331234
1130;1221055;331230
1131;1221054;331227
1132;1221052;331223
1133;1221050;331219
1134;1221048;331215
1135;1221046;331211
1136;1221045;331207
1137;1221043;331204
1138;1221041;331200
1139;1221039;331196
1140;1221038;331192
1141;1221036;331188
1142;1221034;331185
1143;1221032;331181
1144;1221031;331177
1145;1221029;331173
1146;1221027;331169
1147;1221025;331165
1148;1221024;331162
1149;1221022;331158
1150;1221020;331154
1151;1221018;331150
1152;1221017;331146
1153;1221015;331142
1154;1221013;331138
1155;1221012;331135
1156;1221010;331131
1157;1221008;331127
1158;1221006;331123
1159;1221005;331119
1160;1221003;331116
1161;1221001;331112
1162;1220999;331108
1163;1220997;331104
1164;1220996;331100
1165;1220994;331096
1166;1220992;331093
1167;1220991;331089
1168;1220989;331085
1169;1220988;331081
1170;1220986;331077
1171;1220984;331073
1172;1220983;331069
1173;1220982;331065
1174;1220980;331061
1175;1220979;331057
1176;1220978;331053
1177;1220976;331049
1178;1220975;331045
1179;1220974;331041
1180;1220973;331037
1181;1220972;331033
1182;1220972;331028
1183;1220971;331024
1184;1220970;331020
1185;1220970;331016
1186;1220969;331012
1187;1220968;331008
1188;1220968;331003
1189;1220967;330999
1190;1220967;330995
1191;1220966;330991
1192;1220966;330987
1193;1220966;330982
1194;1220966;330978
1195;1220966;330974
1196;1220966;330970
1197;1220966;330965
1198;1220967;330961
1199;1220967;330957
1200;1220968;330953
1201;1220969;330949
1202;1220970;330945
